lowercase,forms,if_interesting,
i'm,I'm i'm I'M i'M,0,
i'd,I'd i'd I'D,0,
they're,they're THEY'RE tHEY'RE,0,
you're,you're YOU'RE,0,
they'd,they'd THEY'D,0,
g'night,G'night g'night,1,
'm,'M 'm,1,
moments',moments',0,why 1?
he'd,he'd HE'D,0,
what'd,what'd WHAT'D,0,
'thank,'thank 'Thank 'THANK,0,
you',you' YOU',0,
'pick,'Pick 'pick,0,
'winning,'Winning 'winning,0,
'i,'I 'i,0,
'dancing,'Dancing 'dancing,0,
you'd,you'd YOU'D,0,
'sleep,'Sleep 'sleep,0,
ravell'd,ravell'd,1,
'oh,'Oh 'oh 'OH,0,
'course,'Course 'course,0,
'will,'will 'Will,0,
out',out',0,
it'd,it'd IT'D,1,0
'oy,'Oy,0,
attention',attention',0,
'god,'God 'GOD,0,
we're,we're WE'RE,0,
humans',humans',0,
that'd,that'd,1,0
ol',ol',1,
'till,'till 'Till,0,
c'mon,C'mon c'mon C'MON,1,
hell're,hell're,1,
an',an' AN',1,
s'ppose,s'ppose S'ppose,1,
'book,'book 'Book,0,
nights',nights',0,
'the,'the 'The 'THE,0,
maybe-i'm-going-insane,maybe-I'm-going-insane,0,
'hand,'hand 'Hand,0,
jar',jar',0,
'summer,'Summer,0,
falls',falls',0,
'all,'all 'All 'ALL,0,
things',things',0,
who'd,who'd,0,
'true,'true 'True,0,
history',history',0,
'good,'Good 'good,0,
unconfetti'd,unconfetti'd,1,
'em,'em 'EM 'Em,1,
y'know,y'know Y'know Y'Know,1,
on'y,on'y,1,
why'd,why'd,0,
we'd,we'd,0,
'angel's,'Angel's 'angel's,1,
y'all,y'all Y'all Y'ALL,1,
'see,'see 'See,0,
he'zz,he'zz,1,
'his,'his 'His,0,
you—that's,you—that's,0,
'what,'what 'What 'WHAT,0,
like',like',0,
rules'd,rules'd,1,
m'face,m'face,1,
'parently,'parently 'Parently,0,
'and,'and 'And 'AND,0,
on',on',0,
were—we're,were—we're,0,
them',them' THEM',0,
don't—i'm—not,don't—I'm—not,0,
i—you're—that's—i'm,I—you're—that's—I'm,0,
'holy,'Holy 'holy,0,
'did,'Did 'did 'DID,0,
'if,'If 'if,0,
'like,'Like 'like,0,
this',this',0,
i'm--well,I'm--well,0,
i'm--i'm,I'm--I'm,0,
there'd,there'd THERE'D,0,
'nough,'nough,1,
y'r,y'r Y'r,1,
'f,'f 'F,1,
's'a,'s'a 'S'a,1,
f'r,f'r,1,
fr'm,fr'm,1,
may'st,may'st,1,
th'coincidence,th'coincidence,1,
'phel,'Phel,1,
d'ya,d'ya D'ya,1,
pin'er,pin'er,1,
wasn'specting,wasn'specting,1,
y'alright,y'alright Y'alright,1,
d'you,D'you d'you,1,
demons',demons',0,
'can,'can 'Can 'CAN,0,
'look,'Look 'look 'LOOK,0,
',',0,
angels',angels',0,
s'pretty,S'pretty s'pretty,1,
'tis,'tis 'Tis,1,
m'fine,M'fine m'fine M'Fine,1,
miracle'd,miracle'd,1,
'as,'As 'as,0,
i',I' i',0,
'friends’,'friends’,0,
'oddly,'oddly 'Oddly,0,
satisfying',satisfying',0,
anothers',anothers',0,
'gone,'gone 'Gone,0,
lord',LORD' lord',0,
'earth,'Earth,0,
it',it',0,
'are,'are 'Are 'ARE,0,
'obey,'obey,0,
question',question',0,
end',end',0,
'end,'End 'end,0,
'pearls,'pearls,0,
'for,'for 'For,0,
then',then',0,
she'd,she'd SHE'D,0,
still—he's,still—he's,0,
friends',friends',0,
that'ssss,that'ssss,1,
'snake,'Snake 'snake,0,
'freshly,'freshly,0,
snek',snek',1,
ne'er,ne'er,1,
this--i'd,this--I'd,0,
'after,'after 'After,0,
'our,'our 'Our 'OUR,0,
side',side',0,
ma'am,ma'am,0,
'get,'get 'Get,0,
trouble',trouble' TROUBLE',0,
s'pose,S'pose s'pose,1,
'something,'something 'Something,0,
me',me',0,
where'd,where'd,0,
'round,'round 'Round,0,
'cause,'cause 'Cause 'CAUSE,0,
'what's,'what's 'What's,0,
m'dear,m'dear M'dear,1,
'twere,'Twere 'twere,1,
'raphael,'Raphael,0,
s'not,S'not s'not,1,
s'okay,s'okay S'okay S'Okay,1,
waitress',waitress',0,
'angels,'angels 'Angels,0,
sleep',sleep',0,
'doubt,'Doubt,0,
'wait,'Wait 'wait 'WAIT,0,
ii',II',0,??
'when,'When 'when 'WHEN,0,
'kiss,'Kiss 'kiss,0,
guys',guys',0,
o'clock,o'clock O'Clock O'clock O'CLOCK,0,
archangels',archangels',0,
'prepare,'prepare 'Prepare,0,
'in,'in 'In 'IN,0,
behaviour',behaviour',0,
'care,'care 'Care,0,
for',for',0,
'poor,'Poor 'poor,0,
s'lucky,S'lucky,1,
s'in,S'in s'in,1,
s'like,s'like S'like,1,
'ezra,'Ezra,0,
'baking,'Baking 'baking,0,
'wow,'wow 'Wow,0,
'cast,'cast,0,
pit',pit',0,
'but,'But 'but 'BUT,0,
now',now' NOW',0,
'crowley,'Crowley 'CROWLEY,0,
day',day',0,
'follow,'follow 'Follow,0,
'be,'be 'Be 'BE,0,
nice',nice',0,
bit-'',bit-'',0,
'a,'A 'a,0,
'boogie,'Boogie,0,
'fools,'Fools 'fools,0,
'it's,'It's 'it's 'It'S 'IT'S,0,
months',months',0,
'ziraphale,'Ziraphale 'ziraphale,1,
'friendly,'friendly,0,
curiosity',curiosity',0,
'heaven's,'heaven's 'Heaven's,0,
sake',sake',0,
let'ssss,let'ssss,1,
sssomeone'ss,sssomeone'ss,1,
it'sss,it'sss,1,
'take,'Take 'take,0,
further',further',0,
's,'s 'S,1,
days',days',0,
y'alls,y'alls,1,
beta'd,beta'd,1,
brothers',brothers',0,
sons',sons',0,
fathers',fathers',0,
daughters',daughters',0,
'divine,'Divine 'divine,0,
here',here',0,
'old,'Old 'old,0,
'on,'on 'On,0,
nine',nine',0,
'mind's,'mind's,0,
eye',eye',0,
dear',dear',0,
'ngel,'ngel,1,
p'sned,p'sned,1,
j'st,J'st,1,
t'red,T'red,1,
g'nna,G'nna g'nna,1,
c'est,c'est C'est,0,
time',time',0,
goodness',goodness',0,
warmth',warmth',0,
'kicked,'kicked,0,
anyone',anyone',0,
'sss,'sss 'Sss,1,
don't's,don't's,1,
'im,'im 'IM 'Im,0,
'internet,'internet,0,
what'd'you,what'd'you,0,
'traitorous,'traitorous,0,
acts',acts',0,
should'a,should'a,1,
z'at,Z'at,1,
s'the,S'the,1,
s'what,S'what s'what,1,
mean',mean',0,
'sort,'sort 'Sort,0,
thing',thing',0,
'drop,'drop,0,
'sixteen,'Sixteen,0,
s'possed,s'possed,1,
'how,'How 'how 'HOW,0,
couldn't-'',couldn't-'',0,
thought-'',thought-'',0,
just-'',just-'',0,
'excuse,'excuse 'Excuse,0,
s'a,S'a s'a,1,
s'nice,s'nice S'nice,1,
s'gonna,S'gonna,1,
'best,'Best 'best,0,
friend',friend',0,
'i'm,'I'm 'i'm,0,
tickety-boo',tickety-boo',0,
a—what's,a—what's,0,??
'eternally,'Eternally 'eternally,0,
down—you'd,down—you'd,0,
almighty',almighty',0,
inn'it,inn'it,1,
on—what's,on—what's,0,
'cept,'cept 'Cept 'CEPT,1,
t'sked,t'sked,1,
it'ssss,it'ssss,1,
'hm,'Hm,1,
s'easier,S'easier,1,
s'everthing,S'everthing,1,
wand'ring,wand'ring,1,
prov'd,prov'd,1,
lov'd,lov'd,1,
we-'',we-'',0,
you-'',you-'',0,
drunk-'',drunk-'',0,
ride'',ride'',0,
is-'',is-'',0,
lying-'',lying-'',0,
w-'',w-'',1,0
me'',me'',0,
fuck-'',fuck-'',0,
fu-'',fu-'',1,0
up-'',up-'',0,
swear-'',swear-'',0,
'til,'til 'Til,1,
'shit,'Shit 'shit 'SHIT,0,
shit–',shit–',0,
li'l,li'l,1,
'bout,'bout 'Bout,1,
'scuse,'scuse 'Scuse,1,
what're,what're,0,
married',married',0,
'hey,'Hey 'hey,0,
fuck',fuck',0,
cupids',cupids',0,
colleague',colleague',0,
'day-where-you-try-not-to-get-burned,'day-where-you-try-not-to-get-burned,0,
trip',trip',0,
'getting,'getting 'Getting,0,
off',off',0,
'calming,'calming,0,
down',down',0,
'aziraphale,'Aziraphale,0,
'please,'Please 'please 'PLEASE,0,
'stop,'Stop 'stop,0,
'now,'Now 'now 'NOW,0,
'harder,'Harder,0,
'modern,'modern,0,
sss'not,sss'not,1,
occupants',occupants',0,
yea',yea',0,
'dangerous,'dangerous,0,
sorry'-s,sorry'-s,1,
'my,'my 'My 'MY,0,
'there'd,'there'd,0,
point',point',0,
'fine,'fine 'Fine 'FINE,0,
guess',guess',0,
'jophiel,'Jophiel,0,
'cross,'Cross 'cross,0,
he'sss,he'sss,1,
'you're,'You're 'you're 'YOU'RE,0,
wasn't--he,wasn't--he,0,
'why,'why 'Why 'WHY,0,
already',already',0,
'fuck,'fuck 'Fuck 'FUCK,0,
they'e,they'e,1,
'homey,'Homey 'homey,0,
touches',touches',0,
'accent,'accent,0,
colors',colors',0,
'too,'too 'Too,0,
fast',fast',0,
'dine,'dine,0,
what'ssss,what'ssss,1,
'oooh,'oooh 'Oooh,1,
flames',flames',0,
'adam,'ADAM 'Adam,0,
'lucifer,'Lucifer,0,
rise',rise',0,
detectives',detectives',0,
saying'if,saying'if,0,
'yer,'yer,1,
'zira,'ZIRA 'Zira 'zira,0,
'taken,'taken,0,
of',of',0,
overtime',overtime',0,
'thou,'Thou 'thou,0,
you--you're,you--You're you--you're,0,
mistake',mistake',0,
mind',mind',0,
'love,'Love 'love 'LOVE,0,
car',car',0,
l'oiseau,L'oiseau,0,
'conceal,'Conceal,0,
'inconveniently,'inconveniently,0,
discorporated',discorporated',0,
'reverse,'reverse,0,
cowgirl',cowgirl',0,
'yes,'yes 'Yes 'YES,0,
t'this,t'this,1,
th'banks,th'banks,1,
th'bann,th'Bann,1,
't,'T 't,1,
'is,'is 'Is,0,
holy'n,holy'n,1,
s'alright,S'alright s'alright S'Alright,1,
d'oeuvres,d'oeuvres d'Oeuvres,0,
sense—humanity's,sense—humanity's,0,
'no,'No 'no 'NO,0,
'not,'Not 'not 'NOT,0,
'may,'May 'may,0,
my--',my--',0,
'of,'Of 'of,0,
'aziraphale’s,'Aziraphale’s,0,
'he,'He 'he 'HE,0,
others',others',0,
'common,'common 'Common,0,
room',room',0,
'partners,'partners,0,
wouldn't-it-be-nice,wouldn't-it-be-nice,0,
'-when,'-when,0,
pluck'd,pluck'd,1,
y'er,Y'er,1,
'main,'main 'Main,0,
sequence',sequence',0,
'princess,'Princess,0,
'sides,'Sides 'sides,1,
'you,'You 'you 'YOU,0,
'cuz,'cuz 'Cuz,0,
'well,'Well 'well 'WELL,0,
'here,'Here 'here 'HERE,0,
hit',hit',0,
's's,'s's,1,
d'n,D'n,1,
m',m' M',1,
sides',sides',0,
one',one',0,
c'mere,C'mere c'mere,1,
'slow,'Slow 'slow,0,
'gross,'gross,0,
matter',matter',0,
s',S' s',1,
'twas,'twas 'Twas,1,
