lowercase,forms,if_interesting,Unnamed: 3,n_of_variants,class
g'night,G'night g'night,1.0,,2,
'm,'M 'm,1.0,,2,
ravell'd,ravell'd,1.0,,1,would
it'd,it'd IT'D,1.0,0,2,would
that'd,that'd,1.0,0,1,would
ol',ol',1.0,,1,
c'mon,C'mon c'mon C'MON,1.0,,3,
hell're,hell're,1.0,,1,
an',an' AN',1.0,,2,
s'ppose,s'ppose S'ppose,1.0,,2,
unconfetti'd,unconfetti'd,1.0,,1,would
'em,'em 'EM 'Em,1.0,,3,
y'know,y'know Y'know Y'Know,1.0,,3,
on'y,on'y,1.0,,1,
'angel's,'Angel's 'angel's,1.0,,2,
y'all,y'all Y'all Y'ALL,1.0,,3,
he'zz,he'zz,1.0,,1,buzz
rules'd,rules'd,1.0,,1,would
m'face,m'face,1.0,,1,
'nough,'nough,1.0,,1,
y'r,y'r Y'r,1.0,,2,
'f,'f 'F,1.0,,2,
's'a,'s'a 'S'a,1.0,,2,
f'r,f'r,1.0,,1,
fr'm,fr'm,1.0,,1,
may'st,may'st,1.0,,1,
th'coincidence,th'coincidence,1.0,,1,
'phel,'Phel,1.0,,1,
d'ya,d'ya D'ya,1.0,,2,
pin'er,pin'er,1.0,,1,
wasn'specting,wasn'specting,1.0,,1,
y'alright,y'alright Y'alright,1.0,,2,
d'you,D'you d'you,1.0,,2,
s'pretty,S'pretty s'pretty,1.0,,2,
'tis,'tis 'Tis,1.0,,2,
m'fine,M'fine m'fine M'Fine,1.0,,3,
miracle'd,miracle'd,1.0,,1,would
that'ssss,that'ssss,1.0,,1,hiss
snek',snek',1.0,,1,
ne'er,ne'er,1.0,,1,
s'pose,S'pose s'pose,1.0,,2,
m'dear,m'dear M'dear,1.0,,2,
'twere,'Twere 'twere,1.0,,2,
s'not,S'not s'not,1.0,,2,
s'okay,s'okay S'okay S'Okay,1.0,,3,
s'lucky,S'lucky,1.0,,1,
s'in,S'in s'in,1.0,,2,
s'like,s'like S'like,1.0,,2,
'ziraphale,'Ziraphale 'ziraphale,1.0,,2,
let'ssss,let'ssss,1.0,,1,hiss
sssomeone'ss,sssomeone'ss,1.0,,1,hiss
it'sss,it'sss,1.0,,1,hiss
's,'s 'S,1.0,,2,
y'alls,y'alls,1.0,,1,
beta'd,beta'd,1.0,,1,would
'ngel,'ngel,1.0,,1,
p'sned,p'sned,1.0,,1,
j'st,J'st,1.0,,1,
t'red,T'red,1.0,,1,
g'nna,G'nna g'nna,1.0,,2,
'sss,'sss 'Sss,1.0,,2,hiss
don't's,don't's,1.0,,1,
should'a,should'a,1.0,,1,
z'at,Z'at,1.0,,1,
s'the,S'the,1.0,,1,
s'what,S'what s'what,1.0,,2,
s'possed,s'possed,1.0,,1,hiss
s'a,S'a s'a,1.0,,2,
s'nice,s'nice S'nice,1.0,,2,
s'gonna,S'gonna,1.0,,1,
inn'it,inn'it,1.0,,1,
'cept,'cept 'Cept 'CEPT,1.0,,3,
t'sked,t'sked,1.0,,1,
it'ssss,it'ssss,1.0,,1,hiss
'hm,'Hm,1.0,,1,
s'easier,S'easier,1.0,,1,
s'everthing,S'everthing,1.0,,1,
wand'ring,wand'ring,1.0,,1,
prov'd,prov'd,1.0,,1,would
lov'd,lov'd,1.0,,1,would
w-'',w-'',1.0,0,1,
fu-'',fu-'',1.0,0,1,
'til,'til 'Til,1.0,,2,
li'l,li'l,1.0,,1,
'bout,'bout 'Bout,1.0,,2,
'scuse,'scuse 'Scuse,1.0,,2,
sss'not,sss'not,1.0,,1,hiss
sorry'-s,sorry'-s,1.0,,1,
he'sss,he'sss,1.0,,1,hiss
they'e,they'e,1.0,,1,
what'ssss,what'ssss,1.0,,1,hiss
'oooh,'oooh 'Oooh,1.0,,2,
'yer,'yer,1.0,,1,
t'this,t'this,1.0,,1,
th'banks,th'banks,1.0,,1,
th'bann,th'Bann,1.0,,1,
't,'T 't,1.0,,2,
holy'n,holy'n,1.0,,1,
s'alright,S'alright s'alright S'Alright,1.0,,3,
pluck'd,pluck'd,1.0,,1,would
y'er,Y'er,1.0,,1,
'sides,'Sides 'sides,1.0,,2,
's's,'s's,1.0,,1,
d'n,D'n,1.0,,1,
m',m' M',1.0,,2,
c'mere,C'mere c'mere,1.0,,2,
s',S' s',1.0,,2,
'twas,'twas 'Twas,1.0,,2,
'ere,'ere 'Ere 'ERE,1.0,,3,
y',y' Y',1.0,,2,
judge'a,judge'a,1.0,,1,
t',t',1.0,,1,
t'morrow,T'morrow t'morrow,1.0,,2,
b'cuz,B'cuz,1.0,,1,
jus',jus',1.0,,1,
th',th',1.0,,1,
sidewalk'n,sidewalk'n,1.0,,1,
'd,'D 'd,1.0,0,2,would
s'that,s'that S'that,1.0,,2,
y'could,Y'could y'could,1.0,,2,
'az,'Az 'AZ,1.0,0,2,
'oz,'Oz,1.0,0,1,
'azaz,'azaz,1.0,0,1,
s'why,S'why s'why,1.0,,2,
'h,'H,1.0,0,1,
'mmmnn,'Mmmnn,1.0,,1,
m'afraid,m'afraid,1.0,,1,
'sthat,'Sthat 'sthat,1.0,,2,
s'ludicrous,S'ludicrous,1.0,,1,
'splain,'splain 'Splain,1.0,,2,
here'zzz,here'zzz,1.0,,1,buzz
'sploded,'sploded,1.0,,1,
one'zzz,one'zzz,1.0,,1,buzz
couldn'dt,couldn'dt,1.0,,1,
'fraid,'Fraid 'fraid,1.0,,2,
y'think,Y'think y'think,1.0,,2,
s'fine,S'fine s'fine,1.0,,2,
shouldn't'a,shouldn't'a,1.0,,1,
s'all,S'all s'all,1.0,,2,
t'see,T'see t'see,1.0,,2,
s'your,s'your S'your,1.0,,2,
y'pop,y'pop,1.0,,1,
gotch'u,gotch'u,1.0,,1,
don't'cha,don't'cha,1.0,,1,
y'really,Y'really,1.0,,1,
y'what,Y'what,1.0,,1,
y'like,y'like Y'like,1.0,,2,
s'long,s'long S'long,1.0,,2,
d'your,D'your,1.0,,1,
threat'ning,threat'ning,1.0,,1,
heav'n,heav'n,1.0,,1,
o',o' O',1.0,,2,
let'ss,let'ss,1.0,,1,hiss
s'abit,S'abit,1.0,,1,
war'ssss,war'ssss,1.0,,1,hiss
w-was-'',w-was-'',1.0,,1,
sweet-season'd,sweet-season'd,1.0,,1,would
better'd,better'd,1.0,,1,would
m'lord,m'lord m'Lord M'lord,1.0,,3,
m'tired,M'tired m'tired,1.0,,2,
s'me,S'me s'me,1.0,,2,
s'been,S'been s'been,1.0,,2,
'haz,'Haz,1.0,,1,
luz',luz',1.0,,1,
y'all's,y'all's,1.0,,1,
's'not,'s'not 'S'not,1.0,,2,
hnnkkh',hnnkkh',1.0,,1,
i'vve,I'vve,1.0,,1,
