lowercase,forms
i'm,I'm i'm I'M i'M
i'd,I'd i'd I'D
they're,they're THEY'RE tHEY'RE
you're,you're YOU'RE
they'd,they'd THEY'D
g'night,G'night g'night
'm,'M 'm
moments',moments'
he'd,he'd HE'D
what'd,what'd WHAT'D
'thank,'thank 'Thank 'THANK
you',you' YOU'
'pick,'Pick 'pick
'winning,'Winning 'winning
'i,'I 'i
'dancing,'Dancing 'dancing
you'd,you'd YOU'D
'sleep,'Sleep 'sleep
ravell'd,ravell'd
'oh,'Oh 'oh 'OH
'course,'Course 'course
'will,'will 'Will
out',out'
it'd,it'd IT'D
'oy,'Oy
attention',attention'
'god,'God 'GOD
we're,we're WE'RE
humans',humans'
that'd,that'd
ol',ol'
'till,'till 'Till
c'mon,C'mon c'mon C'MON
hell're,hell're
an',an' AN'
s'ppose,s'ppose S'ppose
'book,'book 'Book
nights',nights'
'the,'the 'The 'THE
maybe-i'm-going-insane,maybe-I'm-going-insane
'hand,'hand 'Hand
jar',jar'
'summer,'Summer
falls',falls'
'all,'all 'All 'ALL
things',things'
who'd,who'd
'true,'true 'True
history',history'
'good,'Good 'good
unconfetti'd,unconfetti'd
'em,'em 'EM 'Em
y'know,y'know Y'know Y'Know
on'y,on'y
why'd,why'd
we'd,we'd
'angel's,'Angel's 'angel's
y'all,y'all Y'all Y'ALL
'see,'see 'See
he'zz,he'zz
'his,'his 'His
you—that's,you—that's
'what,'what 'What 'WHAT
like',like'
rules'd,rules'd
m'face,m'face
'parently,'parently 'Parently
'and,'and 'And 'AND
on',on'
were—we're,were—we're
them',them' THEM'
don't—i'm—not,don't—I'm—not
i—you're—that's—i'm,I—you're—that's—I'm
'holy,'Holy 'holy
'did,'Did 'did 'DID
'if,'If 'if
'like,'Like 'like
this',this'
i'm--well,I'm--well
i'm--i'm,I'm--I'm
there'd,there'd THERE'D
'nough,'nough
y'r,y'r Y'r
'f,'f 'F
's'a,'s'a 'S'a
f'r,f'r
fr'm,fr'm
may'st,may'st
th'coincidence,th'coincidence
'phel,'Phel
d'ya,d'ya D'ya
pin'er,pin'er
wasn'specting,wasn'specting
y'alright,y'alright Y'alright
d'you,D'you d'you
demons',demons'
'can,'can 'Can 'CAN
'look,'Look 'look 'LOOK
','
angels',angels'
s'pretty,S'pretty s'pretty
'tis,'tis 'Tis
m'fine,M'fine m'fine M'Fine
miracle'd,miracle'd
'as,'As 'as
i',I' i'
'friends’,'friends’
'oddly,'oddly 'Oddly
satisfying',satisfying'
anothers',anothers'
'gone,'gone 'Gone
lord',LORD' lord'
'earth,'Earth
it',it'
'are,'are 'Are 'ARE
'obey,'obey
question',question'
end',end'
'end,'End 'end
'pearls,'pearls
'for,'for 'For
then',then'
she'd,she'd SHE'D
still—he's,still—he's
friends',friends'
that'ssss,that'ssss
'snake,'Snake 'snake
'freshly,'freshly
snek',snek'
ne'er,ne'er
this--i'd,this--I'd
'after,'after 'After
'our,'our 'Our 'OUR
side',side'
ma'am,ma'am
'get,'get 'Get
trouble',trouble' TROUBLE'
s'pose,S'pose s'pose
'something,'something 'Something
me',me'
where'd,where'd
'round,'round 'Round
'cause,'cause 'Cause 'CAUSE
'what's,'what's 'What's
m'dear,m'dear M'dear
'twere,'Twere 'twere
'raphael,'Raphael
s'not,S'not s'not
s'okay,s'okay S'okay S'Okay
waitress',waitress'
'angels,'angels 'Angels
sleep',sleep'
'doubt,'Doubt
'wait,'Wait 'wait 'WAIT
ii',II'
'when,'When 'when 'WHEN
'kiss,'Kiss 'kiss
guys',guys'
o'clock,o'clock O'Clock O'clock O'CLOCK
archangels',archangels'
'prepare,'prepare 'Prepare
'in,'in 'In 'IN
behaviour',behaviour'
'care,'care 'Care
for',for'
'poor,'Poor 'poor
s'lucky,S'lucky
s'in,S'in s'in
s'like,s'like S'like
'ezra,'Ezra
'baking,'Baking 'baking
'wow,'wow 'Wow
'cast,'cast
pit',pit'
'but,'But 'but 'BUT
now',now' NOW'
'crowley,'Crowley 'CROWLEY
day',day'
'follow,'follow 'Follow
'be,'be 'Be 'BE
nice',nice'
bit-'',bit-''
'a,'A 'a
'boogie,'Boogie
'fools,'Fools 'fools
'it's,'It's 'it's 'It'S 'IT'S
months',months'
'ziraphale,'Ziraphale 'ziraphale
'friendly,'friendly
curiosity',curiosity'
'heaven's,'heaven's 'Heaven's
sake',sake'
let'ssss,let'ssss
sssomeone'ss,sssomeone'ss
it'sss,it'sss
'take,'Take 'take
further',further'
's,'s 'S
days',days'
y'alls,y'alls
beta'd,beta'd
brothers',brothers'
sons',sons'
fathers',fathers'
daughters',daughters'
'divine,'Divine 'divine
here',here'
'old,'Old 'old
'on,'on 'On
nine',nine'
'mind's,'mind's
eye',eye'
dear',dear'
'ngel,'ngel
p'sned,p'sned
j'st,J'st
t'red,T'red
g'nna,G'nna g'nna
c'est,c'est C'est
time',time'
goodness',goodness'
warmth',warmth'
'kicked,'kicked
anyone',anyone'
'sss,'sss 'Sss
don't's,don't's
'im,'im 'IM 'Im
'internet,'internet
what'd'you,what'd'you
'traitorous,'traitorous
acts',acts'
should'a,should'a
z'at,Z'at
s'the,S'the
s'what,S'what s'what
mean',mean'
'sort,'sort 'Sort
thing',thing'
'drop,'drop
'sixteen,'Sixteen
s'possed,s'possed
'how,'How 'how 'HOW
couldn't-'',couldn't-''
thought-'',thought-''
just-'',just-''
'excuse,'excuse 'Excuse
s'a,S'a s'a
s'nice,s'nice S'nice
s'gonna,S'gonna
'best,'Best 'best
friend',friend'
'i'm,'I'm 'i'm
tickety-boo',tickety-boo'
a—what's,a—what's
'eternally,'Eternally 'eternally
down—you'd,down—you'd
almighty',almighty'
inn'it,inn'it
on—what's,on—what's
'cept,'cept 'Cept 'CEPT
t'sked,t'sked
it'ssss,it'ssss
'hm,'Hm
s'easier,S'easier
s'everthing,S'everthing
wand'ring,wand'ring
prov'd,prov'd
lov'd,lov'd
we-'',we-''
you-'',you-''
drunk-'',drunk-''
ride'',ride''
is-'',is-''
lying-'',lying-''
w-'',w-''
me'',me''
fuck-'',fuck-''
fu-'',fu-''
up-'',up-''
swear-'',swear-''
'til,'til 'Til
'shit,'Shit 'shit 'SHIT
shit–',shit–'
li'l,li'l
'bout,'bout 'Bout
'scuse,'scuse 'Scuse
what're,what're
married',married'
'hey,'Hey 'hey
fuck',fuck'
cupids',cupids'
colleague',colleague'
'day-where-you-try-not-to-get-burned,'day-where-you-try-not-to-get-burned
trip',trip'
'getting,'getting 'Getting
off',off'
'calming,'calming
down',down'
'aziraphale,'Aziraphale
'please,'Please 'please 'PLEASE
'stop,'Stop 'stop
'now,'Now 'now 'NOW
'harder,'Harder
'modern,'modern
sss'not,sss'not
occupants',occupants'
yea',yea'
'dangerous,'dangerous
sorry'-s,sorry'-s
'my,'my 'My 'MY
'there'd,'there'd
point',point'
'fine,'fine 'Fine 'FINE
guess',guess'
'jophiel,'Jophiel
'cross,'Cross 'cross
he'sss,he'sss
'you're,'You're 'you're 'YOU'RE
wasn't--he,wasn't--he
'why,'why 'Why 'WHY
already',already'
'fuck,'fuck 'Fuck 'FUCK
they'e,they'e
'homey,'Homey 'homey
touches',touches'
'accent,'accent
colors',colors'
'too,'too 'Too
fast',fast'
'dine,'dine
what'ssss,what'ssss
'oooh,'oooh 'Oooh
flames',flames'
'adam,'ADAM 'Adam
'lucifer,'Lucifer
rise',rise'
detectives',detectives'
saying'if,saying'if
'yer,'yer
'zira,'ZIRA 'Zira 'zira
'taken,'taken
of',of'
overtime',overtime'
'thou,'Thou 'thou
you--you're,you--You're you--you're
mistake',mistake'
mind',mind'
'love,'Love 'love 'LOVE
car',car'
l'oiseau,L'oiseau
'conceal,'Conceal
'inconveniently,'inconveniently
discorporated',discorporated'
'reverse,'reverse
cowgirl',cowgirl'
'yes,'yes 'Yes 'YES
t'this,t'this
th'banks,th'banks
th'bann,th'Bann
't,'T 't
'is,'is 'Is
holy'n,holy'n
s'alright,S'alright s'alright S'Alright
d'oeuvres,d'oeuvres d'Oeuvres
sense—humanity's,sense—humanity's
'no,'No 'no 'NO
'not,'Not 'not 'NOT
'may,'May 'may
my--',my--'
'of,'Of 'of
'aziraphale’s,'Aziraphale’s
'he,'He 'he 'HE
others',others'
'common,'common 'Common
room',room'
'partners,'partners
wouldn't-it-be-nice,wouldn't-it-be-nice
'-when,'-when
pluck'd,pluck'd
y'er,Y'er
'main,'main 'Main
sequence',sequence'
'princess,'Princess
'sides,'Sides 'sides
'you,'You 'you 'YOU
'cuz,'cuz 'Cuz
'well,'Well 'well 'WELL
'here,'Here 'here 'HERE
hit',hit'
's's,'s's
d'n,D'n
m',m' M'
sides',sides'
one',one'
c'mere,C'mere c'mere
'slow,'Slow 'slow
'gross,'gross
matter',matter'
s',S' s'
'twas,'twas 'Twas
'ere,'ere 'Ere 'ERE
y',y' Y'
jackdaws',jackdaws'
builders',builders'
judge'a,judge'a
t',t'
t'morrow,T'morrow t'morrow
b'cuz,B'cuz
jus',jus'
th',th'
sidewalk'n,sidewalk'n
who're,who're
'specially,'specially 'Specially
'this,'This 'THIS 'this
parents',parents'
sword',sword'
d'angelo's,D'Angelo's
d'arc,d'Arc D'Arc
'sure,'sure 'Sure
stuffing',stuffing'
'earliest,'earliest
convenience',convenience'
'right,'right 'Right
orders—it's,orders—it's
afraid',afraid'
trial',trial'
rules',rules'
ifs',ifs'
couldn't--he,couldn't--he
'come,'Come 'come
'slumber,'slumber
'd,'D 'd
d'yquem,d'Yquem D'Yquem
carpark',carpark'
'strongly,'strongly
'jupiter,'Jupiter
'neptune,'Neptune
drivers',drivers'
'ran,'ran
best',best'
creatures',creatures'
likely',likely'
'much,'Much
'barney,'Barney
'let,'let 'Let
up',up' UP'
idiots',idiots'
s'that,s'that S'that
y'could,Y'could y'could
'dark,'Dark 'dark
'fairy,'fairy
pools',pools'
'party,'party
tricks',tricks'
'speaking,'speaking 'Speaking
its',its'
skinny-white-boy-on-magazine-cover-who's-definitely-done-every-drug-on-the-face-of-the-earth,skinny-white-boy-on-magazine-cover-who's-definitely-done-every-drug-on-the-face-of-the-earth
'quick,'quick
'he's,'He's 'he's 'HE'S
'gotta,'Gotta
'so,'so 'So 'SO
'sexy,'Sexy
dice',dice'
boys',boys'
'meant,'meant
doing',doing'
'az,'Az 'AZ
'oz,'Oz
'azaz,'azaz
'it,'It 'it 'IT
heals',heals'
'cuddle,'Cuddle
'private,'private
spree',spree'
sale',sale'
'attack,'attack
heaven',heaven'
s'why,S'why s'why
'me,'me 'Me
didn't',didn't'
beings',beings'
'angels-are-good,'angels-are-good
demons-are-bad',demons-are-bad'
enemy',enemy'
'we,'we 'We
and-',and-'
'h,'H
'looking,'Looking 'looking
'same,'same 'Same
'that,'That 'that 'THAT
'where,'Where 'where
'whatever,'Whatever 'whatever
'yeah,'Yeah 'yeah 'YEAH
'wake,'Wake
'ok,'Ok 'ok 'OK
better-',better-'
'um,'Um 'um
'to,'To 'to
are-',are-'
'mmmnn,'Mmmnn
'ahh,'Ahh
'go,'Go 'go 'GO
'her,'her 'Her
'free,'free 'Free 'FREE
love',love'
'an,'an 'An
effort',effort'
'real,'real
demon',demon'
'demons,'demons 'Demons
hand',hand'
'azira,'Azira
m'afraid,m'afraid
'rain,'rain 'Rain
bow',bow'
'great,'Great 'great
'sthat,'Sthat 'sthat
s'ludicrous,S'ludicrous
why're,why're
customers',customers'
kilometers',kilometers'
'filthy,'filthy 'Filthy
disgusting',disgusting'
'just,'just 'Just 'JUST
'got,'got 'Got
'splain,'splain 'Splain
here'zzz,here'zzz
'sploded,'sploded
one'zzz,one'zzz
guards',guards'
'sorted,'sorted
'pip,'pip
cheerio',cheerio'
funny',funny'
couldn'dt,couldn'dt
'fraid,'Fraid 'fraid
creations',creations'
boils',boils'
y'think,Y'think y'think
s'fine,S'fine s'fine
downstairs',downstairs'
'these,'these 'These
'rock,'rock
roll',roll'
unicorns',unicorns'
'first,'first 'First 'FIRST
egg',egg'
we--we're,we--we're
'mood,'mood
shouldn't'a,shouldn't'a
s'all,S'all s'all
t'see,T'see t'see
s'your,s'your S'your
y'pop,y'pop
gotch'u,gotch'u
don't'cha,don't'cha
y'really,Y'really
y'what,Y'what
y'like,y'like Y'like
'stupid,'Stupid 'stupid
jokes',jokes'
buggers',buggers'
'would,'Would 'would
'small,'Small 'small
community',community'
morning--he'd,morning--he'd
students',students'
speakers',speakers'
s'long,s'long S'long
d'your,D'your
centuries',centuries'
destruction',destruction'
all—it's,all—it's
threat'ning,threat'ning
heav'n,heav'n
o',o' O'
aren't’,aren't’
let'ss,let'ss
'locker,'locker
'personal,'personal 'Personal
leave',leave'
arms',arms'
do',do'
'missed,'missed 'Missed
connection',connection'
'how'd,'How'd
angel',angel'
'boy,'boy 'Boy
toy',toy'
minutes',minutes'
'cursed,'cursed 'Cursed
life',life'
'mysterious,'mysterious 'Mysterious
how'd,how'd HOW'D
couldnt',couldnt'
s'abit,S'abit
wing',wing'
'because,'because 'Because
'do,'do 'Do 'DO
'evil,'evil 'Evil
good',good'
'watch,'watch 'Watch
parties',parties'
'jerking,'jerking
'at,'At 'at
'was,'was 'Was
'significant,'significant 'Significant
him',him'
l'm,l'm
'steady,'Steady
'keep,'keep 'Keep
love’',love’'
'mon,'mon
cry',cry'
war'ssss,war'ssss
'we're,'we're 'We're
w-was-'',w-was-''
'quite,'quite 'Quite
'tried,'Tried
deeds',deeds'
all',all'
own',own'
'silver,'Silver 'silver
not',not'
'under,'under 'Under
influence',influence'
'checking,'Checking
'wet,'wet
dream',dream'
sweet-season'd,sweet-season'd
'twixt,'twixt 'Twixt
better'd,better'd
m'lord,m'lord m'Lord M'lord
'sweating,'sweating
bullets',bullets'
'okay,'Okay 'okay
now—',now—'
fiancé's,fiancé's
all-boys',all-boys'
'between,'between 'Between
'open,'open 'Open
'useless,'useless 'Useless
miracle',miracle'
away',away'
d'amour,d'Amour d'amour
almost-courtship-that-wasn't-quite,almost-courtship-that-wasn't-quite
didn't’,didn't’
m'tired,M'tired m'tired
iris',iris'
'fancy,'fancy 'Fancy
stuff',stuff'
'shut,'Shut 'shut
'run,'run 'Run
into',into'
s'me,S'me s'me
s'been,S'been s'been
'haz,'Haz
luz',luz'
much',much'
'smart'phone,'smart'phone
y'all's,y'all's
'oregon,'Oregon
night',night'
'willamette,'Willamette
'turn,'turn 'Turn
's'not,'s'not 'S'not
'there,'There 'there 'THERE
me-',me-'
'tell,'Tell 'tell 'TELL
'forget,'Forget 'forget
hnnkkh',hnnkkh'
balloon',balloon'
'say,'Say 'say
eyes—he's,eyes—he's
'patience,'Patience
'greater,'greater 'Greater
was—',was—'
ladies',ladies'
'desecrate,'desecrate
bond',bond'
i'm—i’m,I'm—I’m
cuisine',cuisine'
write',write'
'until,'until 'Until 'UNTIL
thoughts',thoughts'
tonight',tonight'
'guilty,'guilty 'Guilty
pleasure',pleasure'
snake',snake'
'fucking,'Fucking 'fucking
are',are'
lived',lived'
'dead,'Dead 'dead
i'vve,I'vve
flies',flies'
'mnot,'mnot 'Mnot
it'ss,it'ss
o'connell,O'Connell
creators',creators'
'rubbing,'rubbing
other',other'
angels—they're,angels—they're
worked—i'm,worked—I'm
